,index,n,r,CI95%,r2,adj_r2,p-val,BF10,power,X,Y,X_covars,Y_covars
83,pearson,11718,0.031,[0.01 0.05],0.001,0.001,0.0007416014032471022,3.427,0.921,generationtime_m,length_birth_m,"['division_ratios__f_n_m', 'phi_m']","['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
84,pearson,11718,0.061,[0.04 0.08],0.004,0.004,3.3237569212962804e-11,4.09e+07,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']",None
85,pearson,11718,0.061,[0.04 0.08],0.004,0.004,2.8322360795983568e-11,4.784e+07,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']",['growth_length_m']
86,pearson,11718,0.062,[0.04 0.08],0.004,0.004,2.5594516669703333e-11,5.282e+07,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']",['division_ratios__f_n_m']
87,pearson,11718,0.07,[0.05 0.09],0.005,0.005,3.297563956120555e-14,3.618e+10,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']",['phi_m']
88,pearson,11718,0.062,[0.04 0.08],0.004,0.004,2.1860923742941436e-11,6.163e+07,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']","['growth_length_m', 'division_ratios__f_n_m']"
89,pearson,11718,0.07,[0.05 0.09],0.005,0.005,3.253380250291678e-14,3.667e+10,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']","['growth_length_m', 'phi_m']"
90,pearson,11718,0.07,[0.05 0.09],0.005,0.005,3.100603396991092e-14,3.844e+10,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']","['division_ratios__f_n_m', 'phi_m']"
91,pearson,11718,0.07,[0.05 0.09],0.005,0.005,3.0581417735434125e-14,3.897e+10,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']","['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
92,pearson,11718,-0.385,[-0.4  -0.37],0.148,0.148,0.0,inf,1.0,generationtime_m,length_birth_m,None,['growth_length_m']
93,pearson,11718,-0.332,[-0.35 -0.32],0.11,0.11,7.60566129778865e-300,3.003e+295,1.0,generationtime_m,length_birth_m,None,['division_ratios__f_n_m']
94,pearson,11718,0.032,[0.01 0.05],0.001,0.001,0.000643278761330779,3.911,0.927,generationtime_m,length_birth_m,None,['phi_m']
